fold_id,entanglement,feature_map_reps,ansatz_reps,element test,actual test,predicted test,element train,actual train,predicted train,final_train_loss,final_test_loss,gpu_mem_allocated,gpu_mem_max_allocated
3,full,2,1,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1],[1 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 1 1 1 0],0.6464323401451111,0.7904192209243774,,
3,full,2,2,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1],[1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1],0.664095401763916,0.9836329817771912,,
3,full,2,3,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 0 1 0 1 0 0 1 1 0 0 0 1 1 1 0 0 1],[1 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1],0.5920945405960083,0.6624751091003418,,
3,full,2,4,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0],[0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0],0.6193059086799622,0.8444521427154541,,
3,full,2,5,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1],[1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 0 1],0.6140831112861633,0.8823775053024292,,
3,full,2,6,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 1],[1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 0 1],0.6235629916191101,1.0370374917984009,,
3,full,3,1,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0],[1 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0],0.7157801985740662,0.634792685508728,,
3,full,3,2,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0],0.7301092147827148,0.4826796352863312,,
3,full,3,3,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 1 0],[0 1 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0],0.6770390272140503,0.7358874678611755,,
3,full,3,4,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1],0.7796897888183594,0.5872356295585632,,
3,full,3,5,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 0 0 1],[0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0],0.6287616491317749,0.691352903842926,,
3,full,3,6,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 0 1 0],[0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 0 1 0],0.6337100863456726,0.4191892445087433,,
3,full,4,1,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1],[1 0 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 1],0.6317790746688843,0.4600269496440887,,
